TNR,TPR,attack,attack_params,attacked_policy,balanced_accuracy,detector,detector_params,matrix,norm,other_reward,other_reward_std,recovered_reward,recovered_reward_std,recovery,recovery_params
0.9949743589743589,1.0,Empty,,PT1,0.9949743589743589,KNN-Hyper,,[[19402.    98.]  [    0.     0.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967,KNNRecovery,"k: 1, consider_next_state: False"
0.9948717948717949,1.0,Empty,,PT1,0.9948717948717949,KNN-Hyper,,[[19400.   100.]  [    0.     0.]],z-score,-1003803.0,0.0,-74748.5,0.0,KNNRecovery,"k: 3, consider_next_state: False"
0.735897435897436,1.0,Empty,,PT1,0.735897435897436,KNN-Hyper,,[[14350.  5150.]  [    0.     0.]],z-score,-559405.5,0.0,-34146.86,7713.0199999999995,KNNRecovery,"k: 5, consider_next_state: False"
0.6333333333333333,1.0,Empty,,PT1,0.6333333333333333,KNN-Hyper,,[[12350.  7150.]  [    0.     0.]],z-score,-1001059.5,0.0,-45362.2,3684.1000000000013,KNNRecovery,"k: 10, consider_next_state: False"
0.2076847182635387,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.6038423591317693,KNN-Hyper,,[[ 3789. 14455.]  [    0.  1256.]],z-score,-410872.05,84696.85,15012.03,13349.723872204248,KNNRecovery,"k: 1, consider_next_state: False"
0.3987538940809969,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.6993769470404985,KNN-Hyper,,[[6400. 9650.]  [   0. 3450.]],z-score,-1389695.5,0.0,-17554.27,4838.61,KNNRecovery,"k: 3, consider_next_state: False"
0.37209302325581395,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.686046511627907,KNN-Hyper,,[[ 6400. 10800.]  [    0.  2300.]],z-score,-480626.5,0.0,63843.27,10435.11,KNNRecovery,"k: 5, consider_next_state: False"
0.7047774355257594,1.0,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.8523887177628797,KNN-Hyper,,[[11669.  4888.]  [    0.  2943.]],z-score,-1342759.94,1075027.255607083,219865.55,380892.1387720446,KNNRecovery,"k: 10, consider_next_state: False"
0.9965248226950355,1.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.9982624113475178,KNN-Hyper,,[[14051.    49.]  [    0.  5400.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967,KNNRecovery,"k: 1, consider_next_state: False"
0.648936170212766,1.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.824468085106383,KNN-Hyper,,[[9150. 4950.]  [   0. 5400.]],z-score,-1981524.5,0.0,-108774.31,5569.830000000001,KNNRecovery,"k: 3, consider_next_state: False"
0.6204964539007092,0.9907407407407407,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.8056185973207249,KNN-Hyper,,[[8749. 5351.]  [  50. 5350.]],z-score,-2697847.0,0.0,-34518.37,11944.590000000004,KNNRecovery,"k: 5, consider_next_state: False"
0.4752482269503546,1.0,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.7376241134751773,KNN-Hyper,,[[6701. 7399.]  [   0. 5400.]],z-score,-1483155.5,0.0,-346254.44,45048.91999999999,KNNRecovery,"k: 10, consider_next_state: False"
0.9944785621725167,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.9972392810862584,KNN-Hyper,,[[17651.    98.]  [    0.  1751.]],z-score,-1003801.94,7.420000000000002,-73399.19,9419.489409139967,KNNRecovery,"k: 1, consider_next_state: False"
0.592057761732852,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.796028880866426,KNN-Hyper,,[[8200. 5650.]  [   0. 5650.]],z-score,-284359.0,0.0,-101518.51,5120.43,KNNRecovery,"k: 3, consider_next_state: False"
0.3643502824858757,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.6821751412429379,KNN-Hyper,,[[ 6449. 11251.]  [    0.  1800.]],z-score,-477410.5,0.0,56486.0,22918.0,KNNRecovery,"k: 5, consider_next_state: False"
0.601892244065492,1.0,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.8009461220327461,KNN-Hyper,,[[10624.  7027.]  [    0.  1849.]],z-score,-1346892.66,603098.660749553,128604.14,130583.65997199036,KNNRecovery,"k: 10, consider_next_state: False"
